"female,",6
noah.,1
710,39
pass,411
711,39
hundredth,3
year,270
noah’s,2
"month,",123
seventeenth,6
fountains,14
broken,144
"up,",295
windows,23
opened.,7
712,39
nights.,4
713,39
selfsame,15
entered,101
"japheth,",2
714,38
"they,",52
bird,17
sort.,2
715,37
716,37
shut,94
in.,30
717,35
"increased,",6
lift,104
718,31
"prevailed,",3
increased,34
719,31
prevailed,29
exceedingly,19
high,353
"hills,",24
"heaven,",211
covered.,8
720,30
cubits,118
upward,19
prevail;,3
mountains,94
721,29
died,101
"fowl,",9
722,28
"land,",302
723,27
destroyed,121
"things,",182
remained,48
"alive,",24
ark.,10
724,27
days.,87
81,38
remembered,50
wind,85
asswaged;,1
82,38
"stopped,",5
restrained;,1
83,38
returned,146
continually,44
abated.,2
84,38
ararat.,1
85,38
decreased,1
until,366
tenth,77
month,107
tops,10
seen.,11
86,38
87,38
"raven,",1
"fro,",4
dried,34
88,38
dove,12
abated,4
89,38
no,1352
rest,213
sole,12
"foot,",19
"her,",267
pulled,7
810,37
stayed,24
811,38
evening;,2
"lo,",148
olive,36
leaf,10
pluckt,1
812,38
dove;,1
more.,58
813,38
"year,",69
removed,76
covering,36
"looked,",42
dry.,4
814,35
twentieth,36
dried.,2
815,32
spake,530
816,32
go,1288
817,32
breed,2
818,30
"forth,",91
819,26
"kinds,",3
820,25
altar,232
lord;,290
offered,135
burnt,362
offerings,136
altar.,47
821,25
smelled,2
sweet,100
savour;,2
"heart,",201
curse,74
man’s,119
youth;,8
smite,123
"living,",9
done.,46
822,25
while,191
"remaineth,",4
seedtime,1
"harvest,",15
cold,14
"heat,",9
summer,22
"winter,",2
cease.,11
91,37
92,37
fear,347
dread,8
fishes,13
sea;,26
hand,961
delivered.,9
93,37
liveth,22
you;,86
things.,76
94,37
95,37
lives,20
require;,1
require,27
96,37
whoso,53
sheddeth,2
"blood,",95
shed,48
97,37
"you,",835
multiply;,2
therein.,59
98,37
99,37
covenant,213
910,37
911,38
cut,318
flood;,5
912,37
token,13
perpetual,26
913,37
bow,72
"cloud,",28
914,36
cloud,73
915,36
remember,133
"covenant,",48
flesh;,22
916,33
cloud;,2
look,146
everlasting,82
917,33
established,60
918,31
japheth,4
ham,3
canaan.,17
919,29
overspread.,1
920,28
"husbandman,",1
vineyard,29
921,28
drank,13
"wine,",82
drunken;,5
uncovered,14
tent.,12
922,26
"canaan,",38
nakedness,35
"father,",263
brethren,223
without.,8
923,26
shem,5
"garment,",29
laid,265
"shoulders,",4
"backward,",10
covered,90
father;,30
faces,54
father’s,144
nakedness.,10
924,25
awoke,4
younger,23
925,24
canaan;,14
servant,340
servants,295
brethren.,44
926,24
shem;,4
canaan,22
servant.,23
927,23
enlarge,10
tents,21
928,19
929,17
101,36
102,36
japheth;,2
"gomer,",3
"magog,",5
"madai,",2
"javan,",4
"tubal,",6
"meshech,",4
tiras.,2
103,36
gomer;,2
"ashkenaz,",1
"riphath,",2
togarmah.,2
104,35
javan;,2
"elishah,",2
"tarshish,",7
"kittim,",2
dodanim.,2
105,35
isles,23
gentiles,60
lands;,5
"tongue,",23
"families,",41
nations.,36
106,35
ham;,2
"cush,",3
"mizraim,",2
"phut,",1
107,35
cush;,2
